Name,Nationality,Age,Speed,Skill,Experience,Morale,Discipline,Preference,Traits,Fame,Reputation,Partner,Contract,Target,Relations,Team,Charter,Alliance,Prestige,Color,Status,Sponsor,Branding,Commitment,Chassis,Performance,Aero,Gearbox,Suspension,Brakes,Reliability,Characteristics,Wear,Supplier,Power,Tires,Grip,Strategist
J. McMurray,USA,33,70,62,1,0.8,StockCar,Oval,Inconsistent|SuperspeedwaySpecialist,0.55,0.5,,1|Season,15,Fair,#1  - Earnhardt Ganassi Racing,,,1,White,,Bass Pro Shops,Red Orange|Gray Gold,Title|22|Race,2010|EGR-001,80,82,85,85,85,0.85,SuperspeedwaySpecialist,0,Chevrolet,45,Goodyear,-2,Fair
J. P. Montoya,Colombia,34,82,85,1,0.6,OpenWheel,Both,Adaptive|Heroic|GoodInstincts,0.75,0.5,,3|Season,12,Fair,#42 - Earnhardt Ganassi Racing,,,1,White,,Target,Red|White,Title|1|Season,2010|EGR-002,80,82,85,85,85,0.85,SuperspeedwaySpecialist,0,Chevrolet,45,Goodyear,-2,Fair
R. Smith,USA,26,52,52,1,0.8,StockCar,Oval,,0.3,0.25,,1|Season,22,Fair,#78 - Furniture Row Racing,,,1,Black,,Furniture Row,Black,Title|20|Race,2010|FRR-001,78,80,85,80,80,0.85,,0,Chevrolet,42,Goodyear,-2,Fair
M. Martin,USA,51,61,68,1,0.8,StockCar,Oval,,0.85,0.8,,2|Season,12,Great,#5  - Hendrick Motorsports,,,1,Blue,,GoDaddy,Neon Green,Title|20|Race,2010|HM-001,78,85,82,85,85,0.85,,0,Chevrolet,45,Goodyear,-2,Great
J. Gordon,USA,38,71,78,1,0.9,Any,Both,GreatFromPole,0.95,0.9,,4|Season,6,Excellent,#24 - Hendrick Motorsports,,,1,Black|Blue,,DuPont,Black|Blue|Silver,Title|3|Season,2010|HM-002,82,90,88,88,90,0.85,,0,Chevrolet,45,Goodyear,-2,Great
J. Johnson,USA,34,80,82,1,0.9,StockCar,Oval,,0.8,0.85,,6|Season,1,Excellent,#48 - Hendrick Motorsports,,,1,Dark Blue|Blue|Black,,Lowe's,Dark Blue|Blue|Black,Title|4|Season,2010|HM-003,80,90,88,90,90,0.85,,0,Chevrolet,45,Goodyear,-2,Excellent
D. Earnhardt Jr.,USA,35,67,56,1,0.7,StockCar,Oval,SuperspeedwaySpecialist|RacingFamily|PersonalSponsors|Inconsistent,0.95,0.75,,3|Season,12,Fair,#88 - Hendrick Motorsports,,,1,White,,Mountain Dew,Dark Green|Orange|Silver|Black|White,Title|2|Season,2010|HM-004,78,80,85,85,82,0.85,,0,Chevrolet,45,Goodyear,-2,Fair
A. Almirola,USA,26,60,55,0.72,0.5,StockCar,Oval,,0.2,0.2,,20|Race,35,Fair,#09 - Phoenix Racing,None,,1,Red|Black,StartAndPark,,,,2008|HM-072,75,80,75,70,70,0.85,,0.2,Chevrolet,38,Goodyear,-2,Poor
K. Harvick,USA,34,78,85,1,0.8,StockCar,Oval,Heroic,0.7,0.75,,1|Season,3,Fair,#29 - Richard Childress Racing,,,1,White,,Pennzoil,Yellow,Title|1|Season,2010|RCR-001,82,90,88,88,90,0.85,,0,Chevrolet,45,Goodyear,-2,Great
J. Burton,USA,42,58,72,1,0.7,StockCar,Oval,RacingFamily|GreatFromPole,0.75,0.65,,2|Season,12,Fair,#31 - Richard Childress Racing,,,1,White,,Caterpillar,Black,Title|2|Season,2010|RCR-002,78,85,88,85,88,0.85,,0,Chevrolet,45,Goodyear,-2,Fair
C. Bowyer,USA,31,65,75,1,0.8,StockCar,Oval,GoodInstincts,0.55,0.6,,2|Season,10,Fair,#33 - Richard Childress Racing,,,1,White,,Cheerios,Yellow,Title|16|Race,2010|RCR-003,78,88,82,88,88,0.85,,0,Chevrolet,45,Goodyear,-2,Great
T. Stewart,USA,39,78,75,1,0.8,Any,Both,SuperspeedwaySpecialist|Heroic|ShortTemper|TeamOwner,0.85,0.85,,4|Season,3,Great,#14 - Stewart-Haas Racing,,,1,White,,Office Depot,Dark Red|Red|Green|White,Title|2|Season,2010|SHR-001,80,85,88,90,90,0.85,,0,Chevrolet,42,Goodyear,-2,Great
R. Newman,USA,32,78,64,1,0.7,StockCar,Oval,Passive,0.7,0.6,,2|Season,12,Fair,#39 - Stewart-Haas Racing,,,1,White,,U.S. Army,Black,Title|20|Race,2010|SHR-002,78,85,82,85,88,0.85,,0,Chevrolet,42,Goodyear,-2,Fair
M. Bliss,USA,38,48,56,1,0.6,StockCar,Oval,,0.1,0.2,,28|Race,35,Fair,#36 - Tommy Baldwin Racing,None,,1,Yellow|Black|White,StartAndPark,Wave Energy,Dark Blue,Premier|1|Race,2009|JGR-031,75,75,72,72,72,0.8,SuperspeedwaySpecialist,0.2,Chevrolet,40,Goodyear,-2,Poor
B. Labonte,USA,46,50,61,1,0.5,StockCar,Oval,RacingFamily,0.55,0.4,,20|Race,30,Fair,#71 - The Racer's Group Motorsports,None,,1,White|Dark Blue|Black,,TaxSlayer,Dark Red,Title|18|Race,2009|RFR-018,78,75,72,75,75,0.8,,0.1,Chevrolet,40,Goodyear,-2,Poor
T. Cook,USA,42,38,40,1,0.5,StockCar,Oval,,0.05,0.1,,10|Race,35,Fair,#46 - Whitney Motorsports,None,,1,White,StartAndPark,,,,2008|PCR-027,65,70,65,68,70,0.7,ShortTrackSpecialist,0.2,Dodge,38,Goodyear,-2,Terrible
