Order,Circuit,Event,Type,Difficulty,Speed,Clear,Rainy,Overcast,Hot,Stormy,Characteristics,Laps,Base Time,Lap Record,Grid Size
01,Daytona International Speedway - USA,Premier,Superspeedway,0,High,0.8,0,0.05,0.15,0,Prestigous|Chaotic,200,50,1:00.00 - 2010 - Driver (Team),43
02,Auto Club Speedway - USA,Feature,Superspeedway,0,Medium,0.9,0,0,0.1,0,,250,40,1:00.00 - 2010 - Driver (Team),43
03,Las Vegas Motor Speedway - USA,Feature,Oval,0,High,0.85,0,0.05,0.1,0,HotClimate,267,30,1:00.00 - 2010 - Driver (Team),43
04,Atlanta Motor Speedway - USA,Feature,Oval,0,High,0.9,0,0.05,0.05,0,,325,30,1:00.00 - 2010 - Driver (Team),43
05,Bristol Motor Speedway - USA,Feature,Short Track,0,Low,0.95,0,0.025,0.025,0,,500,20,1:00.00 - 2010 - Driver (Team),43
06,Martinsville Speedway - USA,Feature,Short Track,0,Low,0.95,0,0.035,0.015,0,,500,20,1:00.00 - 2010 - Driver (Team),43
07,Phoenix International Raceway - USA,Feature,Oval,0,Low,0.75,0,0.05,0.2,0,HotClimate,375,30,1:00.00 - 2010 - Driver (Team),43
08,Texas Motor Speedway - USA,Feature,Oval,0,High,0.85,0,0.075,0.075,0,,334,30,1:00.00 - 2010 - Driver (Team),43
09,Talladega Superspeedway - USA,Feature,Superspeedway,0,High,0.9,0,0.075,0.025,0,Prestigous|Chaotic,188,50,1:00.00 - 2010 - Driver (Team),43
10,Richmond International Raceway - USA,Feature,Short Track,0,Low,0.8,0,0.1,0.1,0,,400,20,1:00.00 - 2010 - Driver (Team),43
11,Darlington Raceway - USA,Feature,Oval,0,Medium,0.8,0,0.075,0.125,0,Prestigous,367,30,1:00.00 - 2010 - Driver (Team),43
12,Dover International Speedway - USA,Feature,Oval,0,Medium,0.85,0,0.075,0.075,0,,400,20,1:00.00 - 2010 - Driver (Team),43
13,Charlotte Motor Speedway - USA,Feature,Oval,0,High,0.85,0,0.05,0.1,0,Prestigous,400,30,1:00.00 - 2010 - Driver (Team),43
14,Pocono Raceway - USA,Feature,Superspeedway,0,Medium,0.9,0,0.075,0.025,0,Tame,200,50,1:00.00 - 2010 - Driver (Team),43
15,Michigan International Speedway - USA,Feature,Superspeedway,0,High,0.8,0,0.175,0.025,0,,200,40,1:00.00 - 2010 - Driver (Team),43
16,Infineon Raceway - USA,Feature,Road Course,0,Low,0.6,0.05,0.05,0.3,0,,110,80,1:00.00 - 2010 - Driver (Team),43
17,New Hampshire Motor Speedway - USA,Feature,Oval,0,Medium,0.85,0,0.125,0.025,0,,301,30,1:00.00 - 2010 - Driver (Team),43
18,Daytona International Speedway - USA,Feature,Superspeedway,0,High,0.8,0,0.05,0.15,0,Chaotic,166,50,1:00.00 - 2010 - Driver (Team),43
19,Chicagoland Speedway - USA,Feature,Oval,0,High,0.75,0,0.2,0.05,0,,267,50,1:00.00 - 2010 - Driver (Team),43
20,Indianapolis Motor Speedway - USA,Feature,Superspeedway,0,Medium,0.9,0,0.05,0.05,0,Prestigous,160,50,1:00.00 - 2010 - Driver (Team),43
21,Pocono Raceway - USA,Feature,Superspeedway,0,Medium,0.9,0,0.075,0.025,0,Tame,200,50,1:00.00 - 2010 - Driver (Team),43
22,Watkins Glen International - USA,Feature,Road Course,0,Low,0.7,0.15,0.125,0.025,0,,90,70,1:00.00 - 2010 - Driver (Team),43
23,Michigan International Speedway - USA,Feature,Superspeedway,0,High,0.8,0,0.175,0.025,0,,200,40,1:00.00 - 2010 - Driver (Team),43
24,Bristol Motor Speedway - USA,Feature,Short Track,0,Low,0.95,0,0.025,0.025,0,,500,20,1:00.00 - 2010 - Driver (Team),43
25,Atlanta Motor Speedway - USA,Feature,Oval,0,High,0.9,0,0.05,0.05,0,,325,30,1:00.00 - 2010 - Driver (Team),43
26,Richmond International Raceway - USA,Feature,Short Track,0,Low,0.8,0,0.1,0.1,0,,400,20,1:00.00 - 2010 - Driver (Team),43
27,New Hampshire Motor Speedway - USA,Feature,Oval,0,Medium,0.85,0,0.125,0.025,0,,300,30,1:00.00 - 2010 - Driver (Team),43
28,Dover International Speedway - USA,Feature,Oval,0,Medium,0.85,0,0.075,0.075,0,,400,20,1:00.00 - 2010 - Driver (Team),43
29,Kansas Speedway - USA,Feature,Oval,0,High,0.85,0,0.075,0.075,0,,267,30,1:00.00 - 2010 - Driver (Team),43
30,Auto Club Speedway - USA,Feature,Superspeedway,0,Medium,0.9,0,0,0.1,0,,200,40,1:00.00 - 2010 - Driver (Team),43
31,Charlotte Motor Speedway - USA,Feature,Oval,0,High,0.85,0,0.05,0.1,0,,334,30,1:00.00 - 2010 - Driver (Team),43
32,Martinsville Speedway - USA,Feature,Short Track,0,Low,0.95,0,0.035,0.015,0,,500,20,1:00.00 - 2010 - Driver (Team),43
33,Talladega Superspeedway - USA,Feature,Superspeedway,0,High,0.9,0,0.075,0.025,0,Chaotic,188,50,1:00.00 - 2010 - Driver (Team),43
34,Texas Motor Speedway - USA,Feature,Oval,0,High,0.85,0,0.075,0.075,0,,334,30,1:00.00 - 2010 - Driver (Team),43
35,Phoenix International Raceway - USA,Feature,Oval,0,Low,0.75,0,0.05,0.2,0,HotClimate,312,30,1:00.00 - 2010 - Driver (Team),43
36,Homestead-Miami Speedway - USA,Feature,Oval,0,High,0.65,0,0.05,0.3,0,,267,30,1:00.00 - 2010 - Driver (Team),43
