Name,Age,Speed,Skill,Preference,Traits,Funding,Team,Chassis,Reliability,Supplier,Power,Strategy,Contract
O. Servia,35,55,70,Road,,,#06 - Newman/Haas/Lanigan Racing,,,IndyCar Series,,,
R. Doornbos,28,50,60,Road,,,#33 - HVM Racing,,,IndyCar Series,,,
J. Lazier,39,45,40,Oval,,,#98 - Team 3G,,,IndyCar Series,,,
R. Antiucci,29,45,45,Road,,,#98 - Team 3G,,,IndyCar Series,,,
D. Manning,35,50,60,Oval,,,#23 - Dreyer & Reinbold Racing,,,IndyCar Series,,,
S. Sharp,42,55,55,Oval,Fan Favorite,,#16 - Panther Racing,,,IndyCar Series,,,
N. Philippe,23,50,45,Road,No Funding,,#34 - Conquest Racing,,,IndyCar Series,,,
K. Matsuura,30,45,35,,,,#34 - Conquest Racing,,,IndyCar Series,,,
F. Montagny,32,50,45,,,,#25 - Andretti Green Racing,,,IndyCar Series,,,
R. Yasukawa,32,40,40,,,,#43 - Dreyer & Reinbold Racing,,,IndyCar Series,,,
T. Scheckter,29,60,50,,,,#43 - Dreyer & Reinbold Racing,,,IndyCar Series,,,
B. Lazier,42,35,45,,,,#91 - Hemelgarn-Johnson Racing,,,IndyCar Series,,,
B. Rice,34,55,45,,,,#15 - Dreyer & Reinbold Racing,,,IndyCar Series,,,
E. Bernoldi,31,40,35,,,,#36 - Conquest Racing,,,IndyCar Series,,,
J. Camara,29,25,15,,,,#34 - Conquest Racing,,,IndyCar Series,,,
M. Roth,51,15,10,,,,#25 - Roth Racing,,,IndyCar Series,,,
M. Dominquez,34,40,45,,,,#96 - Pacific Coast Motorsports,,,IndyCar Series,,,
F. Perera,26,35,30,,,,#41 - A. J. Foyt Enterprises,,,IndyCar Series,,,
J. Simmons,33,40,50,,,,#41 - A. J. Foyt Enterprises,,,IndyCar Series,,,
A. Figge,29,35,40,,,,#29 - Pacific Coast Motorsports,,,IndyCar Series,,,
S. Bourdais,31,75,70,,Fan Favorite,,#1  - Newman/Haas/Lanigan Racing,,,IndyCar Series,,,
S. Pagenaud,26,70,70,,,,#15 - Team Australia,,,IndyCar Series,,,
N. Jani,26,55,50,,,,#21 - PVK Racing,,,IndyCar Series,,,
T. Gommendy,31,50,45,,,,#22 - PVK Racing,,,IndyCar Series,,,
D. Clarke,26,50,45,,,,#4  - Minardi Team USA,,,IndyCar Series,,,
R. Dalziel,28,35,45,,,,#28 - Pacific Coast Motorsports,,,IndyCar Series,,,
A. Barron,39,50,45,,,,#98 - CURB/Agajanian/Beck Motorsports,,,IndyCar Series,,,
B. Herta,40,45,50,,,,#7  - Andretti Green Racing,,,IndyCar Series,,,
F. Giaffone,35,50,45,,,,#14 - A. J. Foyt Enterprises,,,IndyCar Series,,,
P. Carpentier,38,50,50,,Injury Prone,,#83 - Cheever Racing,,,IndyCar Series,,,
J. R. Hildebrand,22,55,50,,Superspeedway Specialist,,#26 - Andretti Green Racing/AFS Racing,,,Indy Lights,,,
J. Davison,23,45,50,,,,#21 - Vision Racing,,,Indy Lights,,,
W. Cunningham,25,40,50,,,,#11 - Sam Schmidt Motorsports,,,Indy Lights,,,
D. Herrington,23,35,45,,,,#28 - Bryan Herta Autosport,,,Indy Lights,,,
A. Prendeville,28,35,40,,,,#2  - Team Moore Racing,,,Indy Lights,,,
R. Philippe,20,30,25,,,,#37 - Team PBIR,,,Indy Lights,,,
A. Jackson,21,15,20,,,,#9  - Rahal Letterman Racing/Andersen Racing,,,Indy Lights,,,
M. Potekhen,30,35,30,,,,#24 - Alliance Motorsports,,,Indy Lights,,,
P. Donoso,25,40,35,,,,#6  - Rahal Letterman Racing,,,Indy Lights,,,
S. Mokshantsev,32,10,10,,,,#3  - Brian Stewart Racing,,,Indy Lights,,,
J. Mason,25,40,45,,,,#49 - Guthrie Meyer Racing,,,Indy Lights,,,
S. Guthrie,22,20,30,,,,#4  - Guthrie Meyer Racing,,,Indy Lights,,,
L. Gomez,21,35,30,,,,#20 - Sam Schmidt Motorsports,,,Indy Lights,,,
D. Battistini,32,35,35,,,,#63 - Genoa Racing,,,Indy Lights,,,
D. Tappy,25,35,30,,,,#63 - Genoa Racing,,,Indy Lights,,,
J. Miller,22,30,35,,,,#2  - Andersen Racing,,,Star Mazda Championship,,,
J. Edwards,18,50,45,,,,#36 - Newman Wachs Racing,,,Atlantic Championship,,,
F. Vervisch,23,35,30,,,,#17 - Genoa Racing,,,Atlantic Championship,,,
T. Kasemets,36,25,30,,,,#35 - Polestar Motor Racing,,,Atlantic Championship,,,
F. Dracone,26,10,20,,,,#15 - Emmebi Motorsport,,,Euroseries 3000,,,
G. Chaves,16,35,40,,,,#2  - EuroInternational,,,Formula BMW Americas,,,
G. Vilarinho,18,35,30,,,,#9  - EuroInternational,,,Formula BMW Americas,,,
G. Raimondo,16,30,35,,,,#50 - Autotecnica,,,Formula BMW Americas,,,
A. Ellis,18,30,25,,,,#14 - Autotecnica,,,Formula BMW Americas,,,
