Name,Nationality,Age,Speed,Skill,Experience,Morale,Discipline,Preference,Traits,Fame,Reputation,Partner,Contract,Target,Relations,Team,Charter,Alliance,Prestige,Color,Status,Sponsor,Branding,Commitment,Chassis,Performance,Aero,Gearbox,Suspension,Brakes,Reliability,Characteristics,Wear,Supplier,Engine,Power,Tires,Strategist
J. McMurray,USA,33,70,64,1,0.8,StockCar,Oval,Inconsistent|SuperspeedwaySpecialist,0.55,0.5,,1|Season,12,Fair,#1  - Earnhardt Ganassi Racing,,,1,White,,Bass Pro Shops,Red Orange|Gray Gold,Title|22|Race,2010|EGR-001,78,82,85,85,85,0.85,SuperspeedwaySpecialist,0,Chevrolet,2010|ECR-001,45,Goodyear,Fair
J. P. Montoya,Colombia,34,82,85,1,0.6,OpenWheel,Both,Adaptive|GoodInstincts,0.75,0.5,,3|Season,12,Fair,#42 - Earnhardt Ganassi Racing,,,1,White,,Target,Red|White,Title|1|Season,2010|EGR-002,78,82,85,85,85,0.85,SuperspeedwaySpecialist,0,Chevrolet,2010|ECR-002,45,Goodyear,Fair
R. Smith,USA,26,52,52,1,0.8,StockCar,Oval,,0.3,0.25,,1|Season,18,Fair,#78 - Furniture Row Racing,,,1,Black,,Furniture Row,Black,Title|20|Race,2010|FRR-001,75,80,85,80,80,0.85,,0,Chevrolet,2010|ECR-003,42,Goodyear,Fair
M. Martin,USA,51,61,66,1,0.8,StockCar,Oval,,0.85,0.8,,2|Season,10,Great,#5  - Hendrick Motorsports,,,1,Blue,,GoDaddy,Neon Green,Title|20|Race,2010|HM-001,78,85,82,85,85,0.85,,0,Chevrolet,2010|HM-001,45,Goodyear,Great
J. Gordon,USA,38,71,76,1,0.9,Any,Both,GreatFromPole,0.95,0.9,,4|Season,8,Excellent,#24 - Hendrick Motorsports,,,1,Black|Blue,,DuPont,Black|Blue|Silver,Title|3|Season,2010|HM-002,80,90,88,88,90,0.85,,0,Chevrolet,2010|HM-002,45,Goodyear,Great
J. Johnson,USA,34,79,82,1,0.9,StockCar,Oval,,0.8,0.85,,6|Season,8,Excellent,#48 - Hendrick Motorsports,,,1,Dark Blue|Blue|Black,,Lowe's,Dark Blue|Blue|Black,Title|4|Season,2010|HM-003,80,90,88,90,90,0.85,,0,Chevrolet,2010|HM-003,45,Goodyear,Excellent
D. Earnhardt Jr.,USA,35,67,56,1,0.7,StockCar,Oval,SuperspeedwaySpecialist|RacingFamily|PersonalSponsors|Inconsistent,0.95,0.75,,3|Season,10,Fair,#88 - Hendrick Motorsports,,,1,White,,Mountain Dew,Dark Green|Orange|Silver|Black|White,Title|2|Season,2010|HM-004,78,80,85,85,82,0.85,,0,Chevrolet,2010|HM-004,45,Goodyear,Fair
A. Almirola,USA,26,60,55,0.72,0.5,StockCar,Oval,,0.2,0.2,,20|Race,28,Fair,#09 - Phoenix Racing,None,Hendrick Motorsports,1,Red|Black,Start/Park|R/D,,,,2008|HM-009,75,80,75,70,70,0.85,SuperspeedwaySpecialist,0.2,Chevrolet,2009|HM-010,38,Goodyear,Poor
K. Harvick,USA,34,78,85,1,0.8,StockCar,Oval,Heroic,0.7,0.75,,1|Season,8,Fair,#29 - Richard Childress Racing,,,1,White,,Pennzoil,Yellow,Title|1|Season,2010|RCR-001,80,90,88,88,90,0.85,,0,Chevrolet,2010|ECR-004,45,Goodyear,Great
J. Burton,USA,42,62,72,1,0.7,StockCar,Oval,RacingFamily|GreatFromPole,0.75,0.65,,2|Season,10,Fair,#31 - Richard Childress Racing,,,1,White,,Caterpillar,Black,Title|2|Season,2010|RCR-002,78,85,88,85,88,0.85,,0,Chevrolet,2010|ECR-005,45,Goodyear,Fair
