Order,Circuit,Event,Type,Clear,Rainy,Overcast,Hot,Stormy,Laps,Base Time,Lap Record,Grid Size
01,Streets of St. Petersburg - USA,Feature,Street Track,0.45,0.15,0.1,0.25,0.05,45,60,1:00.00 - 2010 - Driver (Team),26
02,Barber Motorsports Park - USA,Feature,Road Course,0.6,0.1,0.1,0.15,0.05,40,70,1:00.00 - 2010 - Driver (Team),26
03,Streets of Long Beach - USA,Feature,Street Track,0.7,0.15,0.05,0.095,0.005,45,70,1:00.00 - 2010 - Driver (Team),28
04,Indianapolis Motor Speedway - USA,Feature,Superspeedway,0.9,0,0.05,0.05,0,40,40,1:00.00 - 2010 - Driver (Team),33
05,Iowa Speedway - USA,Feature,Short Track,0.75,0,0.2,0.05,0,115,20,1:00.00 - 2010 - Driver (Team),28
06,Watkins Glen International - USA,Feature,Road Course,0.7,0.15,0.125,0.025,0,30,90,1:00.00 - 2010 - Driver (Team),28
07,Exhibition Place - Canada,Feature,Street Track,0.5,0.15,0.3,0.025,0.025,50,60,1:00.00 - 2010 - Driver (Team),26
08,Edmonton City Centre Airport - Canada,Feature,Street Track,0.55,0.1,0.35,0,0,50,60,1:00.00 - 2010 - Driver (Team),26
09,Mid-Ohio Sports Car Course - USA,Feature,Road Course,0.75,0.15,0.95,0.05,0,40,70,1:00.00 - 2010 - Driver (Team),28
10,Infineon Raceway - USA,Feature,Road Course,0.6,0.05,0.05,0.3,0,40,80,1:00.00 - 2010 - Driver (Team),28
11,Chicagoland Speedway - USA,Feature,Oval,0.75,0,0.2,0.05,0,67,30,1:00.00 - 2010 - Driver (Team),30
12,Kentucky Speedway - USA,Feature,Oval,0.85,0,0.075,0.075,0,67,30,1:00.00 - 2010 - Driver (Team),30
13,Homestead-Miami Speedway - USA,Feature,Oval,0.65,0,0.05,0.3,0,67,30,1:00.00 - 2010 - Driver (Team),30
