Order,Circuit,Event,Type,Clear,Rainy,Overcast,Hot,Stormy,Laps,Base Time,Lap Record,Grid Size
01,Streets of Sao Paulo - Brazil,Feature,Street Track,0.4,0.2,0.1,0.2,0.1,75,90,1:00.00 - 2010 - Driver (Team),26
02,Streets of St. Petersburg - USA,Feature,Street Track,0.45,0.15,0.1,0.25,0.05,100,60,1:00.00 - 2010 - Driver (Team),26
03,Barber Motorsports Park - USA,Feature,Road Course,0.6,0.1,0.1,0.15,0.05,90,70,1:00.00 - 2010 - Driver (Team),26
04,Streets of Long Beach - USA,Feature,Street Track,0.7,0.15,0.05,0.095,0.005,85,70,1:00.00 - 2010 - Driver (Team),28
05,Kansas Speedway - USA,Feature,Oval,0.85,0,0.075,0.075,0,200,20,1:00.00 - 2010 - Driver (Team),30
06,Indianapolis Motor Speedway - USA,Premier,Superspeedway,0.9,0,0.05,0.05,0,200,40,1:00.00 - 2010 - Driver (Team),33
07,Texas Motor Speedway - USA,Feature,Oval,0.85,0,0.075,0.075,0,228,30,1:00.00 - 2010 - Driver (Team),30
08,Iowa Speedway - USA,Feature,Short Track,0.75,0,0.2,0.05,0,250,20,1:00.00 - 2010 - Driver (Team),28
09,Watkins Glen International - USA,Feature,Road Course,0.7,0.15,0.125,0.025,0,60,90,1:00.00 - 2010 - Driver (Team),28
10,Exhibition Place - Canada,Feature,Street Track,0.5,0.15,0.3,0.025,0.025,85,60,1:00.00 - 2010 - Driver (Team),26
11,Edmonton City Centre Airport - Canada,Feature,Street Track,0.55,0.1,0.35,0,0,95,60,1:00.00 - 2010 - Driver (Team),26
12,Mid-Ohio Sports Car Course - USA,Feature,Road Course,0.75,0.15,0.95,0.05,0,85,70,1:00.00 - 2010 - Driver (Team),28
13,Infineon Raceway - USA,Feature,Road Course,0.6,0.05,0.05,0.3,0,75,80,1:00.00 - 2010 - Driver (Team),28
14,Chicagoland Speedway - USA,Feature,Oval,0.75,0,0.2,0.05,0,200,30,1:00.00 - 2010 - Driver (Team),30
15,Kentucky Speedway - USA,Feature,Oval,0.85,0,0.075,0.075,0,200,30,1:00.00 - 2010 - Driver (Team),30
16,Twin Ring Motegi - Japan,Feature,Oval,0.85,0,0.05,0.1,0,200,30,1:00.00 - 2010 - Driver (Team),30
17,Homestead-Miami Speedway - USA,Feature,Oval,0.65,0,0.05,0.3,0,200,30,1:00.00 - 2010 - Driver (Team),30
