Name,Age,Speed,Skill,Preference,Traits,Funding,Team,Chassis,Reliability,Supplier,Power,Strategy,Contract
V. Bottas,0,0,0,,,,#1  - ART Grand Prix,0,1,Mercedes,0,Fair,
A. Sims,0,0,0,,,,#2  - ART Grand Prix,0,1,Mercedes,0,Fair,
J. Pla (R),0,0,0,,,,#11 - ART Grand Prix,0,1,Mercedes,0,Fair,
E. Gutierrez,0,0,0,,,,#30 - ART Grand Prix,0,1,Mercedes,0,Fair,Guest
R. Merhi,0,0,0,,,,#3  - Mucke Motorsport,0,1,Mercedes,0,Fair,
C. Munoz (R),0,0,0,,,,#4  - Mucke Motorsport,0,1,Mercedes,0,Fair,
E. Mortara,0,0,0,,,,#5  - Signature,0,1,Volkswagen,0,Fair,
M. Wittmann,0,0,0,,,,#6  - Signature,0,1,Volkswagen,0,Fair,
L. Vanthoor,0,0,0,,,,#14  - Signature,0,1,Volkswagen,0,Fair,
N. Marroc,0,0,0,,,,#7  - Prema Powerteam,0,1,Mercedes,0,Fair,
D. Juncadella (R),0,0,0,,,,#8  - Prema Powerteam,0,1,Mercedes,0,Fair,
A. Quaife-Hobbs (R),0,0,0,,,,#9  - Motopark Academy,0,1,Volkswagen,0,Fair,Guest
M. Laine (R),0,0,0,,,,#10 - Motopark Academy,0,1,Volkswagen,0,Fair,
A. Felix da Costa (R),0,0,0,,,,#13 - Motopark Academy,0,1,Volkswagen,0,Fair,
K. Magnussen (R),0,0,0,,,,#15 - Motopark Academy,0,1,Volkswagen,0,Fair,Guest
M. Maki,0,0,0,,,,#16 - Motopark Academy,0,1,Volkswagen,0,Fair,Part-Time
T. Hegewald (R),0,0,0,,,,#17  - Motopark Academy,0,1,Volkswagen,0,Fair,Guest
C. Zanella,0,0,0,,,,#33  - Motopark Academy,0,1,Volkswagen,0,Fair,Part-Time
J. Eriksson (R),0,0,0,,,,#31  - Motopark Academy,0,1,Volkswagen,0,Fair,Guest
R. van der Zande,0,0,0,,,,#34  - Motopark Academy,0,1,Volkswagen,0,Fair,Guest
L. Sa Silva (R),0,0,0,,,,#32 - China Sonangol/Motopark Academy,0,1,Volkswagen,0,Fair,Guest
S. Zeller (R),0,0,0,,,,#38 - Jo Zeller Racing,0,1,Mercedes,0,Fair,Guest
