Name,Age,Speed,Skill,Preference,Traits,Funding,Team,Chassis,Reliability,Supplier,Power,Strategy,Contract
A. Rossi,0,0,0,,,,#1  - ART Grand Prix,0,1,,0,Fair,
E. Gutierrez,0,0,0,,,,#2  - ART Grand Prix,0,1,,0,Fair,
P. Nunes,0,0,0,,,,#3  - ART Grand Prix,0,1,,0,Fair,
R. Wickens,0,0,0,,,,#4  - Status Grand Prix,0,1,,0,Fair,
I. Lukashevich,0,0,0,,,,#5  - Status Grand Prix,0,1,,0,Fair,
D. Morad,0,0,0,,,,#6  - Status Grand Prix,0,1,,0,Fair,
J. Jakes,0,0,0,,,,#7  - Manor Racing,0,1,,0,Fair,
R. Haryanto,0,0,0,,,,#8  - Manor Racing,0,1,,0,Fair,
A. Quaife-Hobbs,0,0,0,,,,#9  - Manor Racing,0,1,,0,Fair,
N. Melker,0,0,0,,,,#10 - Mucke Motorsport,0,1,,0,Fair,
R. van der Zande,0,0,0,,,,#11 - Mucke Motorsport,0,1,,0,Fair,
T. Hegewald,0,0,0,,,,#12 - Mucke Motorsport,0,1,,0,Fair,
J. Newgarden,0,0,0,,,,#14 - Carlin,0,1,,0,Fair,
D. Smith,0,0,0,,,,#15 - Carlin,0,1,,0,Fair,
L. Foresti,0,0,0,,,,#16 - Carlin,0,1,,0,Fair,
F. Guimaraes,0,0,0,,,,#17 - Addax Team,0,1,,0,Fair,
P. Sanchez Lopez,0,0,0,,,,#18 - Addax Team,0,1,,0,Fair,
M. Bortolotti,0,0,0,,,,#19 - Addax Team,0,1,,0,Fair,
M. Christensen,0,0,0,,,,#20 - MW Arden,0,1,,0,Fair,
M. Monras,0,0,0,,,,#21 - MW Arden,0,1,,0,Fair,
L. Cordeiro,0,0,0,,,,#22 - MW Arden,0,1,,0,Fair,
P. Varhaug,0,0,0,,,,#23 - Jenzer Motorsport,0,1,,0,Fair,
S. Trummer,0,0,0,,,,#24 - Jenzer Motorsport,0,1,,0,Fair,
N. Muller,0,0,0,,,,#25 - Jenzer Motorsport,0,1,,0,Fair,
D. Sechelariu,0,0,0,,,,#26 - Tech 1 Racing,0,1,,0,Fair,
D. Juncadella,0,0,0,,,,#27 - Tech 1 Racing,0,1,,0,Fair,
J. E. Vergne,0,0,0,,,,#28 - Tech 1 Racing,0,1,,0,Fair,
P. Reiterer,0,0,0,,,,#29 - Atech Grand Prix/CRS GP,0,1,,0,Fair,
O. Oakes,0,0,0,,,,#30 - Atech Grand Prix/CRS GP,0,1,,0,Fair,
V. Ghirelli,0,0,0,,,,#31 - Atech Grand Prix/CRS GP,0,1,,0,Fair,
