Name,Age,Speed,Skill,Preference,Traits,Funding,Team,Chassis,Reliability,Supplier,Power,Strategy,Contract
J. Green,,,,,,,#05 - Day Enterprise Racing,,,Chevrolet,,,
M. Wallace,,,,,,,#01 - JD Motorsports,,,Chevrolet,,,
D. Patrick (R),,,,,,,#7  - JR Motorsports,,,Chevrolet,,,
D. Earnhardt Jr.,,,,,,,#88 - JR Motorsports,,,Chevrolet,,,
M. Bliss,,,,,,,#40 - Key Motorsports,,,Chevrolet,,,
K. Harvick,,,,,,,#33 - Kevin Harvick Inc.,,,Chevrolet,,,
S. Howard,,,,,,,#70 - ML Motorsports,,,Chevrolet,,,
J. Nemechek,,,,,,,#87 - NEMCO Motorsports,,,Chevrolet,,,
R. Richardson Jr.,,,,,,,#23 - R3 Motorsports,,,Chevrolet,,,
J. W. Townley,,,,,,,#21 - Richard Childress Racing,,,Chevrolet,,,
T. Raines,,,,,,,#34 - Tri-Star Motorsports,,,Chevrolet,,,
J. Keller,,,,,,,#35 - Tri-Star Motorsports,,,Chevrolet,,,
J. Allgaier,,,,,,,#12 - Penske Racing,,,Dodge,,,
B. Keselowski,,,,,,,#22 - Penske Racing,,,Dodge,,,
Bri. Keselowski,,,,,,,#26 - K-Automotive Motorsports,,,Dodge,,,
G. Biffle,,,,,,,#27 - Baker Curb Racing,,,Ford,,,
R. Stenhouse Jr. (R),,,,,,,#6  - Roush Fenway Racing,,,Ford,,,
C. Braun (R),,,,,,,#16 - Roush Fenway Racing,,,Ford,,,
C. Edwards,,,,,,,#60 - Roush Fenway Racing,,,Ford,,,
P. Menard,,,,,,,#98 - Roush Fenway Racing,,,Ford,,,
E. McClure,,,,,,,#24 - Team Rensi Motorsports,,,Ford,,,
T. Bayne,,,,,,,#99 - Diamond-Michael Waltrip Racing,,,Toyota,,,
M. Annett,,,,,,,#15 - Germain Racing,,,Toyota,,,
Ky. Busch,,,,,,,#18 - Joe Gibbs Racing,,,Toyota,,,
J. Logano,,,,,,,#20 - Joe Gibbs Racing,,,Toyota,,,
B. Gaughan,,,,,,,#62 - Rusty Wallace Racing,,,Toyota,,,
S. Wallace,,,,,,,#66 - Rusty Wallace Racing,,,Toyota,,,
M. McDowell,,,,,,,#81 - MacDonald Motorsports,,,Dodge,,,
S. Riggs,,,,,,,#09 - RAB Racing with Brack Maggard,,,Ford,,,
J. Leffler,,,,,,,#10 - Braun Racing,,,Toyota,,,
B. Scott (R),,,,,,,#11 - Braun Racing,,,Toyota,,,
B. Vickers,,,,,,,#32 - Braun Racing,,,Toyota,,,
K. Kahne,,,,,,,#38 - Braun Racing,,,Toyota,,,
K. Wallace,,,,,,,#28 - Jay Robinson Racing,,,Toyota,,,
Jo. Sauter,,,,,,,#48 - Blanton Motorsports,,,Chevrolet,,,Guest
B. Gerhart,,,,,,,#5  - Bob Schacht Motorsports,,,Chevrolet,,,Guest
D. Elfland,,,,,,,#02 - Corrie Stott Racing,,,Chevrolet,,,Part-Time
S. Leicht,,,,,,,#91 - D'Hondt Humphrey Motorsports,,,Chevrolet,,,Part-Time
M. Shepherd,,,,,,,#89 - Faith Motorsports,,,Chevrolet,,,Insecure
