Name,Age,Speed,Skill,Preference,Traits,Funding,Team,Chassis,Reliability,Supplier,Power,Strategy,Contract
M. Gosselin,,,,,,,#12 - DGM Racing,,,Chevrolet,,,
E. Sadler,,,,,,,#2  - Kevin Harvick Inc.,,,Chevrolet,,,
R. Hornaday Jr.,,,,,,,#33 - Kevin Harvick Inc.,,,Chevrolet,,,
N. Benning,,,,,,,#57 - Norm Benning Racing,,,Chevrolet,,,
A. Dillon,,,,,,,#3  - Richard Childress Racing,,,Chevrolet,,,
B. Butler,,,,,,,#47 - Rick Ware Racing,,,Chevrolet,,,
R. Sieg,,,,,,,#39 - RSS Racing,,,Chevrolet,,,
S. Sieg,,,,,,,#93 - RSS Racing,,,Chevrolet,,,
Jo. Sauter,,,,,,,#13 - ThorSport Racing,,,Chevrolet,,,
M. Crafton,,,,,,,#88 - ThorSport Racing,,,Chevrolet,,,
R. Carmichael,,,,,,,#4  - Turner Motorsports,,,Chevrolet,,,
B. Raymer,,,,,,,#85 - Brent Raymer Racing,,,Ford,,,
J. J. Cobb,,,,,,,#10 - Jennifer Jo Cobb Racing,,,Ford,,,
A. Almirola,,,,,,,#51 - Billy Ballew Motorsports,,,Toyota,,,
T. Bodine,,,,,,,#30 - Germain Racing,,,Toyota,,,
Ky. Busch,,,,,,,#18 - Kyle Busch Motorsports,,,Toyota,,,
M. Skinner,,,,,,,#5  - Randy Moss Motorsports/HT Motorsports,,,Toyota,,,
D. Starr,,,,,,,#81 - Randy Moss Motorsports/HT Motorsports,,,Toyota,,,
J. Lofton,,,,,,,#7  - Red Horse Racing,,,Toyota,,,
T. Peters,,,,,,,#17 - Red Horse Racing,,,Toyota,,,
D. Neuenberger,,,,,,,#6  - Rick Ware Racing,,,Chevrolet,,,
W. Edwards,,,,,,,#89 - Lafferty Motorsports/Mike Harmon Racing,,,Chevrolet,,,
S. Compton,,,,,,,#60 - Wyler Racing,,,Chevrolet,,,
S. Murphy,,,,,,,#07 - SS-Green Light Racing,,,Chevrolet,,,
J. White,,,,,,,#23 - SS-Green Light Racing,,,Chevrolet,,,
C. Greenfield,,,,,,,#46 - Team Gill Racing,,,Dodge,,,
B. J. McLeod,,,,,,,#9  - B. J. McLeod Motorsports,,,Chevrolet,,Guest,
D. Brackett,,,,,,,#06 - Brackett Family Motorsports,,,Chevrolet,,Guest,
B. Queen,,,,,,,#00 - Brad Queen Racing,,,Chevrolet,,Guest,
D. White,,,,,,,#96 - Derek White Racing,,,Chevrolet,,Guest,
C. Shaw,,,,,,,#72 - DGM Racing,,,Chevrolet,,Part-Time,
J. Jackson,,,,,,,#99 - DGM Racing,,,Chevrolet,,Guest,
B. Silas,,,,,,,#48 - Fast Track Racing Enterprises,,,Chevrolet,,Part-Time,
C. McCumbee,,,,,,,#49 - Fast Track Racing Enterprises,,,Chevrolet,,Guest,
L. W. Miller III.,,,,,,,#28 - FDNY Racing,,,Chevrolet,,Guest,
G. Pursley,,,,,,,#62 - Gene Price Motorsports,,,Chevrolet,,Guest,
We. Burton,,,,,,,#16 - Green Burton Motorsports,,,Chevrolet,,Guest,
J. Dick V.,,,,,,,#86 - Jimmy Dick Racing,,,Chevrolet,,Part-Time,
K. Schrader,,,,,,,#52 - Ken Schrader Racing,,,Chevrolet,,Guest,
C. Jones,,,,,,,#87 - LCS Motorsports,,,Chevrolet,,Part-Time,
D. Setzer,,,,,,,#92 - Ricky Benton Racing Enterprises,,,Chevrolet,,Part-Time,
T. George Jr.,,,,,,,#22 - Richard Childress Racing,,,Chevrolet,,Guest,
J. C. Stout,,,,,,,#16 - Rick Ware Racing,,,Chevrolet,,Part-Time,
P. Rodenbeck,,,,,,,#82 - Rodenbeck Racing,,,Chevrolet,,Guest,
D. Mayhew,,,,,,,#19 - Steve McGowan Motorsports,,,Chevrolet,,Guest,
B. Johnson Jr.,,,,,,,#73 - Tagsby Racing,,,Chevrolet,,Guest,
L. Cassill,,,,,,,#98 - ThorSport Racing,,,Chevrolet,,Guest,
J. Buescher,,,,,,,#31 - Turner Motorsports,,,Chevrolet,,Insecure,
J. Hobgood,,,,,,,#53 - William Bishop Motorsports,,,Chevrolet,,Guest,
C. Mattioli,,,,,,,#64 - Wyler Motorsports,,,Chevrolet,,Guest,
T. J. Bell,,,,,,,#50 - MAKE Motorsports,,,Chevrolet,,Guest,
B. Keselowski,,,,,,,#29 - Brad Keselowski Racing,,,Dodge,,Guest,
D. Cope,,,,,,,#74 - Stratus Racing Group,,,Dodge,,Guest,
R. Crawford,,,,,,,#14 - Circle Bar Racing,,,Ford,,Guest,
