Name,Age,Speed,Skill,Preference,Traits,Funding,Team,Chassis,Reliability,Supplier,Power,Strategy,Contract
T. Schneider,31,80,80,,,,#1  - Team Abt,50,0.8,Audi,50,Fair,
O. Jarvis,26,45,55,,,,#2  - Team Abt,50,0.8,Audi,50,Fair,
M. Ekstrom,31,75,80,,,,#3  - Team Abt Sportsline,50,0.8,Audi,50,Fair,
M. Tomczyk,28,60,65,,,,#5  - Team Abt Sportsline,50,0.8,Audi,50,Fair,
M. Molina,21,40,55,,,1,#18 - Rookie Team Abt,45,0.75,Audi,45,Fair,
A. Premat,28,55,40,,,,#9  - Team Phoenix,45,0.75,Audi,45,Fair,
M. Rockenfeller,26,60,60,,,,#10 - Team Phoenix,45,0.75,Audi,45,Fair,
M. Winkelhock,29,35,50,,,1,#14 - Team Rosberg,45,0.75,Audi,45,Fair,
K. Legge,29,25,35,,,1,#15 - Team Rosberg,45,0.75,Audi,45,Fair,
G. Paffett,29,75,85,,,McLaren,#3  - HWA Team I,60,0.9,Mercedes-Benz,60,Fair,
B. Spengler,26,80,80,,,,#4  - HWA Team I,60,0.9,Mercedes-Benz,60,Fair,
P. di Resta,24,85,90,,,Mercedes,#7  - HWA Team II,60,0.9,Mercedes-Benz,60,Fair,
R. Schumacher,34,40,50,,,1,#8  - HWA Team II,60,0.9,Mercedes-Benz,60,Fair,
J. Green,27,60,60,,,,#11 - Persson Motorsport,55,0.85,Mercedes-Benz,55,Fair,
S. Stoddart,27,40,45,,,1,#12 - Persson Motorsport,55,0.85,Mercedes-Benz,55,Fair,
C. Cheng,25,20,35,,,1,#21 - Persson Motorsport,55,0.85,Mercedes-Benz,55,Fair,
M. Engel,24,45,50,,,,#16 - Mucke Motorsport,55,0.85,Mercedes-Benz,55,Fair,
D. Coulthard,39,40,50,,,1,#17 - Mucke Motorsport,55,0.85,Mercedes-Benz,55,Fair,
