Name,Nationality,Age,Speed,Skill,Experience,Morale,Discipline,Preference,Traits,Fame,Reputation,Contract,Target,Relations,Team,Color,Sponsor,Status,Chassis,Performance,Aero,Gearbox,Suspension,Brakes,Reliability,Characteristics,Wear,Supplier,Power,Tires,Grip,Strategist
J. Button,UK,30,78,85,1,0.9,OpenWheel,Road,Reserved|WetWeatherSpecialist|Strategist,0.9,0.85,3|Season,4,Excellent,#1  - McLaren Mercedes,Silver,Vodafone,,2010|McLaren MP4-25,88,95,95,95,95,0.8,,0,Mercedes,50,Bridgestone,-5,Great
L. Hamilton,UK,25,92,80,1,0.8,OpenWheel,Road,GreatFromPole|WetWeatherSpecialist,0.9,0.8,3|Season,1,Great,#2  - McLaren Mercedes,Silver,Vodafone,,2010|McLaren MP4-25,88,95,95,95,95,0.8,,0,Mercedes,50,Bridgestone,-5,Great
M. Schumacher,Germany,41,72,82,0.85,0.8,OpenWheel,Road,Strategist|WetWeatherSpecialist,0.95,0.9,3|Season,8,Great,#3  - Mercedes Grand Prix,Light Gray,Petronas,,2010|Mercedes MGP W01,72,85,85,85,85,0.85,,0,Mercedes,50,Bridgestone,-5,Fair
N. Rosberg,Germany,24,75,82,1,0.7,OpenWheel,Road,RacingFamily|GoodInstincts,0.75,0.7,2|Season,6,Great,#4  - Mercedes Grand Prix,Light Gray,Petronas,,2010|Mercedes MGP W01,72,85,85,85,85,0.85,,0,Mercedes,50,Bridgestone,-5,Fair
S. Vettel,Germany,22,88,75,1,0.8,OpenWheel,Road,GreatFromPole|Eccentric|Emotional|GoodInstincts,0.7,0.75,4|Season,3,Excellent,#5  - Red Bull Racing,Dark Blue,Red Bull,,2010|Red Bull RB6,90,98,98,98,98,0.8,,0,Renault,55,Bridgestone,-5,Great
M. Webber,Australia,33,85,75,1,0.7,OpenWheel,Road,Relatable|StreetTrackSpecialist,0.8,0.75,1|Season,5,Great,#6  - Red Bull Racing,Dark Blue,Red Bull,,2010|Red Bull RB6,90,98,98,98,98,0.8,,0,Renault,55,Bridgestone,-5,Great
F. Massa,Brazil,29,72,68,0.95,0.6,OpenWheel,Road,Inconsistent,0.8,0.75,1|Season,6,Great,#7  - Scuderia Ferrari,Red,Marlboro,,2010|Ferrari F10,88,90,90,90,90,0.8,,0,Ferrari,55,Bridgestone,-5,Fair
F. Alonso,Spain,28,85,88,1,0.8,OpenWheel,Road,Heroic|ShortTemper|Emotional,0.9,0.85,3|Season,1,Fair,#8  - Scuderia Ferrari,Red,Marlboro,,2010|Ferrari F10,88,90,90,90,90,0.8,,0,Ferrari,55,Bridgestone,-5,Great
R. Barrichello,Brazil,38,68,75,1,0.7,OpenWheel,Road,,0.85,0.8,1|Season,12,Fair,#9  - Williams,Dark Blue,AT&T,,2010|Williams FW32,65,85,85,85,85,0.8,,0,Cosworth,40,Bridgestone,-5,Fair
N. Hulkenberg,Germany,22,68,55,1,0.8,OpenWheel,Road,,0.45,0.4,1|Season,15,Great,#10 - Williams,Dark Blue,AT&T,,2010|Williams FW32,65,85,85,85,85,0.8,,0,Cosworth,40,Bridgestone,-5,Fair
R. Kubica,Poland,25,75,80,1,0.7,OpenWheel,Road,Scrappy|PersonalSponsors,0.65,0.75,1|Season,10,Fair,#11 - Renault,Yellow,Total,,2010|Renault R30,68,85,85,85,85,0.75,,0,Renault,55,Bridgestone,-5,Fair
V. Petrov,Russia,25,58,55,0.9,0.7,OpenWheel,Road,PayDriver|Inconsistent,0.3,0.3,1|Season,18,Great,#12 - Renault,Yellow,Total,,2010|Renault R30,68,85,85,85,85,0.75,,0,Renault,55,Bridgestone,-5,Poor
