Name,Nationality,Age,Speed,Skill,Experience,Morale,Discipline,Preference,Traits,Fame,Reputation,Contract,Target,Relations,Team,Color,Sponsor,Status,Chassis,Performance,Aero,Gearbox,Suspension,Brakes,Reliability,Characteristics,Wear,Supplier,Power,Tires,Grip,Strategist
S. Dixon,New Zealand,29,72,85,1,0.8,OpenWheel,Both,Adaptive|Strategist|Heroic,0.65,0.85,2|Season,3,Great,#9  - Chip Ganassi Racing,Red,Target,,2010|Dallara IR-05,75,90,90,90,90,0.85,,0,Honda,35,Firestone,8,Great
D. Franchitti,UK,37,80,85,1,0.9,OpenWheel,Both,InjuryProne|RacingFamily,0.7,0.9,2|Season,1,Excellent,#10 - Chip Ganassi Racing,Red,Target,,2010|Dallara IR-05,75,90,90,90,90,0.85,,0,Honda,35,Firestone,8,Great
W. Power,Australia,29,85,75,1,0.9,OpenWheel,Road,StreetTrackSpecialist|GreatFromPole,0.35,0.65,2|Season,6,Great,#12 - Team Penske,Black,Verizon,,2010|Dallara IR-05,75,90,90,90,90,0.85,,0,Honda,35,Firestone,8,Great
H. Castroneves,Brazil,35,75,80,1,0.8,OpenWheel,Both,SuperspeedwaySpecialist|GoodInstincts,0.55,0.8,1|Season,4,Great,#3  - Team Penske,Black,,,2010|Dallara IR-05,75,90,90,90,90,0.85,,0,Honda,35,Firestone,8,Great
R. Briscoe,Australia,28,78,68,1,0.8,OpenWheel,Both,,0.45,0.75,2|Season,4,Great,#6  - Team Penske,Black,,,2010|Dallara IR-05,75,90,90,90,90,0.85,,0,Honda,35,Firestone,8,Fair
D. Patrick,USA,28,60,68,1,0.6,OpenWheel,Oval,FemaleDriver|Adaptive,0.85,0.5,1|Season,10,Fair,#7  - Andretti Autosport,Neon Green,GoDaddy,,2010|Dallara IR-05,72,85,85,85,85,0.85,,0,Honda,35,Firestone,8,Great
T. Kanaan,Brazil,35,68,75,1,0.7,OpenWheel,Oval,Relatable|Adaptive,0.6,0.7,1|Season,6,Great,#11 - Andretti Autosport,Green,7-Eleven,,2010|Dallara IR-05,72,85,85,85,85,0.85,,0,Honda,35,Firestone,8,Great
Marc. Andretti,USA,23,62,62,1,0.8,OpenWheel,Oval,Inconsistent|RacingFamily,0.3,0.35,3|Season,15,Great,#26 - Andretti Autosport,Red,Venom Energy,,2010|Dallara IR-05,72,85,85,85,85,0.85,,0,Honda,35,Firestone,8,Fair
R. Hunter-Reay,USA,29,75,75,1,0.7,OpenWheel,Road,,0.5,0.6,2|Season,8,Fair,#37 - Andretti Autosport,Red,IZOD,,2010|Dallara IR-05,72,85,85,85,85,0.85,,0,Honda,35,Firestone,8,Fair
J. Andretti,USA,47,40,45,1,0.7,Any,Oval,RacingFamily|Semi-Retired,0.4,0.4,2|Race,,Great,#43 - Andretti Autosport,Cyan,Window World,Premier,2010|Dallara IR-05,72,85,85,85,85,0.85,,0,Honda,35,Firestone,8,Fair
A. Carroll,UK,27,50,42,1,0.7,OpenWheel,Road,,0.15,0.35,2|Race,,Fair,#27 - AFS Racing/Andretti Autosport,Red Orange,,Guest,2009|Dallara IR-05,65,75,75,75,75,0.75,,0.1,Honda,30,Firestone,8,Fair
