Name,Nationality,Age,Speed,Skill,Experience,Morale,Discipline,Preference,Traits,Fame,Reputation,Contract,Target,Relations,Team,Color,Status,Sponsor,Branding,Commitment,Chassis,Performance,Aero,Gearbox,Suspension,Brakes,Reliability,Characteristics,Wear,Supplier,Power,Tires,Grip,Strategist
J. McMurray,USA,33,70,62,1,0.8,StockCar,Oval,Inconsistent|SuperspeedwaySpecialist,0.55,0.5,1|Season,15,Fair,#1  - Earnhardt Ganassi Racing,White,,Bass Pro Shops,Red Orange|Gray Gold,Title|22|Race,2010|Chevrolet Impala,78,90,90,90,90,0.85,,0,Chevrolet,48,Goodyear,-2,Fair
J. P. Montoya,Colombia,34,80,85,1,0.6,OpenWheel,Both,Adaptive|Heroic|GoodInstincts,0.75,0.5,3|Season,12,Fair,#42 - Earnhardt Ganassi Racing,White,,Target,Red|White,Title|1|Season,2010|Chevrolet Impala,78,90,90,90,90,0.85,,0,Chevrolet,48,Goodyear,-2,Fair
R. Smith,USA,26,52,52,1,0.8,StockCar,Oval,,0.3,0.25,1|Season,22,Fair,#78 - Furniture Row Racing,Black,,Furniture Row,Black,Title|20|Race,2010|Chevrolet Impala,78,90,90,90,90,0.85,,0,Chevrolet,48,Goodyear,-2,Fair
M. Martin,USA,51,62,68,1,0.8,StockCar,Oval,,0.85,0.8,2|Season,12,Great,#5  - Hendrick Motorsports,Blue,,GoDaddy,Neon Green,Title|20|Race,2010|Chevrolet Impala,78,90,90,90,90,0.85,,0,Chevrolet,48,Goodyear,-2,Great
J. Gordon,USA,38,75,78,1,0.9,StockCar,Both,SuperspeedwaySpecialist|Adaptive|Solid,0.95,0.9,4|Season,6,Excellent,#24 - Hendrick Motorsports,Black|Blue,,DuPont,Black|Blue|Silver,Title|3|Season,2010|Chevrolet Impala,78,90,90,90,90,0.85,,0,Chevrolet,48,Goodyear,-2,Excellent
J. Johnson,USA,34,80,82,1,0.9,StockCar,Oval,Strategist,0.8,0.85,6|Season,1,Excellent,#48 - Hendrick Motorsports,Dark Blue|Blue|Black,,Lowe's,Dark Blue|Blue|Black,Title|4|Season,2010|Chevrolet Impala,78,90,90,90,90,0.85,,0,Chevrolet,48,Goodyear,-2,Great
D. Earnhardt Jr.,USA,35,70,60,1,0.7,StockCar,Oval,SuperspeedwaySpecialist|RacingFamily|PersonalSponsors,0.95,0.75,3|Season,12,Fair,#88 - Hendrick Motorsports,White,,Mountain Dew,Dark Green|Orange|Silver|Black|White,Title|2|Season,2010|Chevrolet Impala,78,90,90,90,90,0.85,,0,Chevrolet,48,Goodyear,-2,Fair
A. Almirola,USA,26,62,55,0.72,0.5,StockCar,Oval,,0.2,0.2,20|Race,35,Fair,#09 - Phoenix Racing,Red|Black,,,,,2008|Chevrolet Impala,75,88,88,88,88,0.85,,0.2,Chevrolet,48,Goodyear,-2,Poor
K. Harvick,USA,34,78,85,1,0.8,StockCar,Oval,Heroic,0.7,0.75,1|Season,3,Fair,#29 - Richard Childress Racing,White,,Pennzoil,Yellow,Title|1|Season,2010|Chevrolet Impala,78,90,90,90,90,0.85,,0,Chevrolet,48,Goodyear,-2,Great
J. Burton,USA,42,65,68,1,0.7,StockCar,Oval,RacingFamily,0.75,0.65,2|Season,12,Fair,#31 - Richard Childress Racing,White,,Caterpillar,Black,Title|2|Season,2010|Chevrolet Impala,78,90,90,90,90,0.85,,0,Chevrolet,48,Goodyear,-2,Fair
C. Bowyer,USA,31,65,75,1,0.8,StockCar,Oval,GoodInstincts,0.55,0.6,2|Season,10,Fair,#33 - Richard Childress Racing,White,,Cheerios,Yellow,Title|16|Race,2010|Chevrolet Impala,78,90,90,90,90,0.85,,0,Chevrolet,48,Goodyear,-2,Great
T. Stewart,USA,39,78,75,1,0.8,Any,Both,Strategist|Heroic|ShortTemper|TeamOwner,0.85,0.85,4|Season,3,Great,#14 - Stewart-Haas Racing,White,,Office Depot,Dark Red|Red|Green|White,Title|2|Season,2010|Chevrolet Impala,78,90,90,90,90,0.85,,0,Chevrolet,48,Goodyear,-2,Great
R. Newman,USA,32,78,65,1,0.7,StockCar,Oval,,0.7,0.6,2|Season,12,Fair,#39 - Stewart-Haas Racing,White,,U.S. Army,Black,Title|20|Race,2010|Chevrolet Impala,78,90,90,90,90,0.85,,0,Chevrolet,48,Goodyear,-2,Fair
M. Bliss,USA,38,52,58,1,0.6,StockCar,Oval,,0.1,0.2,28|Race,35,Fair,#36 - Tommy Baldwin Racing,Yellow|Black|White,StartAndPark,Wave Energy,Dark Blue,Premier|1|Race,2009|Chevrolet Impala,75,85,85,85,85,0.8,SuperspeedwaySpecialist,0.2,Chevrolet,48,Goodyear,-2,Poor
B. Labonte,USA,46,45,55,1,0.5,StockCar,Oval,RacingFamily,0.55,0.4,20|Race,30,Fair,#71 - The Racer's Group Motorsports,White|Dark Blue|Black,,TaxSlayer,Dark Red,Title|10|Race,2009|Chevrolet Impala,78,90,90,90,90,0.8,,0.1,Chevrolet,48,Goodyear,-2,Poor
T. Cook,USA,42,38,40,1,0.5,StockCar,Oval,,0.05,0.1,10|Race,35,Fair,#46 - Whitney Motorsports,White,StartAndPark,,,,2008|Dodge Charger,68,80,80,80,80,0.7,ShortTrackSpecialist,0.2,Dodge,42,Goodyear,-2,Poor
K. Busch,USA,31,80,78,1,0.7,StockCar,Oval,Adaptive|PoorCommunicator|Insecure|RacingFamily,0.6,0.65,2|Season,12,Fair,#2  - Penske Championship Racing,Black,,Miller Lite,Dark Cyan,Title|2|Season,2010|Dodge Charger,72,85,85,85,85,0.75,ShortTrackSpecialist,0,Dodge,42,Goodyear,-2,Great
B. Keselowski,USA,26,70,70,1,0.8,StockCar,Oval,,0.45,0.5,1|Season,18,Great,#12 - Penske Championship Racing,Black,,Verizon,Black|Red,Title|18|Race,2010|Dodge Charger,72,85,85,85,85,0.75,ShortTrackSpecialist,0,Dodge,42,Goodyear,-2,Fair
S. Hornish Jr.,USA,30,78,82,0.8,0.6,OpenWheel,Oval,PersonalSponsors,0.5,0.65,1|Season,20,Fair,#77 - Penske Championship Racing,Black,,Mobil 1,Black,Title|15|Race,2010|Dodge Charger,72,85,85,85,85,0.75,ShortTrackSpecialist,0,Dodge,42,Goodyear,-2,Fair
J. Andretti,USA,47,40,45,1,0.7,Any,Oval,RacingFamily|Semi-Retired,0.4,0.4,1|Race,30,Fair,#34 - Front Row Motorsports,White,,Window World,Beige,Premier|1|Race,2010|Ford Fusion,72,85,85,85,85,0.8,,0,Ford,38,Goodyear,-2,Fair
T. Kvapil,USA,34,52,45,1,0.5,StockCar,Oval,,0.25,0.2,1|Race,25,Fair,#37 - Front Row Motorsports/Yates Racing,White,,ExtenZe,Blue,Title|5|Race,2010|Ford Fusion,72,85,85,85,85,0.8,,0,Ford,38,Goodyear,-2,Fair
R. Richardson Jr.,USA,28,35,40,0.92,0.7,StockCar,Oval,,0.05,0.1,1|Race,35,Poor,#38 - Front Row Motorsports/Yates Racing,White,,Mahindra Tractors,Black,Premier|1|Race,2010|Ford Fusion,72,85,85,85,85,0.8,,0,Ford,38,Goodyear,-2,Poor
B. Said,USA,47,50,45,1,0.7,StockCar,Road,,0.3,0.25,5|Race,35,Fair,#26 - Latitude 43 Motorsports,White,,Window World,Beige,Premier|1|Race,2010|Ford Fusion,68,80,80,80,80,0.8,,0,Ford,38,Goodyear,-2,Poor
K. Kahne,USA,30,75,68,1,0.5,StockCar,Oval,Inconsistent,0.7,0.55,1|Season,15,Poor,#9  - Richard Petty Motorsports,Red,,Budweiser,Red|White|Dark Red,Title|1|Season,2010|Ford Fusion,72,85,85,85,85,0.8,,0,Ford,38,Goodyear,-2,Fair
E. Sadler,USA,35,65,60,1,0.6,StockCar,Oval,RacingFamily,0.45,0.5,1|Season,20,Fair,#19 - Richard Petty Motorsports,Red,,Stanley Tools,Black,Title|3|Race,2010|Ford Fusion,72,85,85,85,85,0.8,,0,Ford,38,Goodyear,-2,Fair
A. J. Allmendinger,USA,28,70,65,1,0.7,Any,Road,,0.35,0.45,1|Season,20,Fair,#43 - Richard Petty Motorsports,Cyan,,Best Buy,Dark Blue,Title|6|Race,2010|Ford Fusion,72,85,85,85,85,0.8,,0,Ford,38,Goodyear,-2,Fair
