Order,Circuit,Country,Event,Type,Difficulty,Speed,Clear,Rainy,Overcast,Hot,Stormy,Characteristics,Laps,Base Time,Lap Record,Grid Size
01,Albert Park Circuit,Australia,Feature,Road Course,0.2,Medium,1,0,0,0,0,,58,87,1:00.00 - 2010 - Driver (Team),26
02,Sepang International Circuit,Malaysia,Feature,Grand Prix,0.4,Medium,1,0,0,0,0,,56,96,1:00.00 - 2010 - Driver (Team),26
03,Shanghai International Circuit,China,Feature,Grand Prix,0.3,Medium,1,0,0,0,0,,56,98,1:00.00 - 2010 - Driver (Team),26
04,Bahrain International Circuit,Bahrain,Feature,Grand Prix,0.15,Medium,1,0,0,0,0,,57,95,1:00.00 - 2010 - Driver (Team),26
05,Circuit de Catalunya,Spain,Feature,Grand Prix,0.55,Medium,1,0,0,0,0,,66,83,1:00.00 - 2010 - Driver (Team),26
06,Circuit de Monaco,Monaco,Feature,Street Track,0.95,Low,1,0,0,0,0,Prestigious,78,75,1:00.00 - 2010 - Driver (Team),26
07,Istanbul Park,Turkey,Feature,Grand Prix,0.7,Medium,1,0,0,0,0,,58,90,1:00.00 - 2010 - Driver (Team),26
08,Silverstone Circuit,UK,Feature,Grand Prix,0.65,High,1,0,0,0,0,,60,87,1:00.00 - 2010 - Driver (Team),26
09,Nurburgring,Germany,Feature,Grand Prix,0.6,Medium,1,0,0,0,0,,60,90,1:00.00 - 2010 - Driver (Team),26
10,Hungaroring,Hungary,Feature,Grand Prix,0.5,Low,1,0,0,0,0,,70,78,1:00.00 - 2010 - Driver (Team),26
11,Valencia Street Circuit,Spain,Feature,Street Track,0.45,Low,1,0,0,0,0,,57,84,1:00.00 - 2010 - Driver (Team),26
12,Circuit de Spa-Francorchamps,Belgium,Feature,Grand Prix,0.8,High,1,0,0,0,0,,44,109,1:00.00 - 2010 - Driver (Team),26
13,Autodromo Nazionale di Monza,Italy,Feature,Grand Prix,0.35,High,1,0,0,0,0,,53,82,1:00.00 - 2010 - Driver (Team),26
14,Marina Bay Street Circuit,Singapore,Feature,Street Track,0.85,Low,1,0,0,0,0,,61,97,1:00.00 - 2010 - Driver (Team),26
15,Suzuka Circuit,Japan,Feature,Grand Prix,0.9,High,1,0,0,0,0,,53,92,1:00.00 - 2010 - Driver (Team),26
16,Autodromo Jose Carlos Pace,Brazil,Feature,Grand Prix,0.75,Medium,1,0,0,0,0,,71,77,1:00.00 - 2010 - Driver (Team),26
17,Yas Marina Circuit,UAE,Feature,Grand Prix,0.25,Medium,1,0,0,0,0,,55,93,1:00.00 - 2010 - Driver (Team),26
